Output,Input,Call,mNemonic,Location,Service Area,Latitude,Longitude,S,ERP,HASL,T/O,Sp,Tone,Notes
,,,,,,,,,,,,,,{{10M;FM;*}}
29.1200,29.1200,VK2RMB,THills,Terrey Hills,Sydney 6/15,-33.692994,151.222079,P,-,150,-,2MB,-,1
29.1200,29.1200,VK2RBH,Darlng,Mt Darling,Broken Hill,-32.022963,141.533162,O,-,400,-,2DPG,-,12
29.1200,29.1200,VK4RLB,-,Logan,Brisbane,-27.627411,153.100191,O,25,60,4,4ARN,88.5,3
29.1300,29.1300,VK2RNG,Werri,Werrington,Western Sydney 1/19,?,?,U,-,-,-,2THE,-,13
29.1400,29.1400,VK3RRU,-,Merbein,Mildura,-34.168332,142.07905,O,20,-,2.5,3RSG,-,5
29.6200,29.5200,VK5RSC,-,Mt Terrible,Adelaide,-35.331101,138.501776,O,40,410,3,5ARC,-,7
29.6300,29.5300,VK2RCZ,-,Winmalee,Sydney West,-33.679205,150.601994,O,-,-,3,2CRZ,-,
29.6300,29.5300,VK7RMD,-,Mt Duncan,NW Tasmania 6/15,-41.194584,146.035604,P,30,600,3,7NW,-,
29.6400,29.5400,VK3RHF,-,Olinda,Melbourne,-37.857864,145.364227,O,100,600,3,3UJ,-,8
29.6500,29.5500,VK2RWI,Dural,Dural,Sydney 6/15,-33.698742,151.055463,X,25,240,-,2WI,-,
29.6600,29.5600,VK4RKC,-,Ocean View,Brisbane North,-27.145551,152.820209,O,100,530,5,4KI,-,9
29.6800,29.5800,VK4RTQ,-,Mt Kynoch,Toowoomba,-27.506166,151.955865,O,50,500,5,4QF,146.2,115
29.6800,29.5800,VK6RHF,-,Leeming,Perth,-32.186175,116.070791,O,50,300,3,6RRG,179.9,10,11
29.6800,29.5800,VK7RHF,-,Roberts Bluff,Kaoota,-42.919472,147.315947,O,50,710,5,7HH,91.5,19
,,,,,,,,,,,,,,{{6M;FM;VK2}}
53.5500,52.5500,VK2RSC,Lismor,Parrots Nest,Lismore,-28.857063,153.228511,O,20,185,3,2SRC,-,
53.5750,52.5750,VK2RPW,-,Grundy Mtn,Walcha,-31.326561,151.655579,O,50,1463,3,2TOP,-,
53.6000,52.6000,VK2RNW,Kaput,Mt Kaputar,Narrabri 6/15,-30.278821,150.152139,X,-,1550,-,2AJ,-,
53.6250,52.6250,VK2RSN,-,Mt Sugarloaf,Newcastle,-32.944671,151.515857,O,-,442,-,2FA,-,
53.6500,52.6500,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,-34.263384,150.954594,O,40,465,4,2AMW,123,2
53.6750,52.6750,VK2RMB,THills,Terrey Hills,Sydney 6/15,-33.692994,151.222079,X,50,150,3,2MB,-,1
53.7000,52.7000,VK2RGN,-,Signal Hill,Goulburn,-34.756348,149.688344,O,-,-,-,2JQ,-,
53.7250,52.7250,VK2RAG,Someb,Somersby,Gosford-Wyong,-33.360078,151.291215,O,50,320,3,2EH,91.5,
53.7500,52.7500,VK2RCB,-,Francis L/O Dorrigo,Bellingen 7/17,-30.396516,152.688203,P,50,850,3,2EP,-,
53.8500,52.8500,VK2RWI,Dural,Dural,Sydney,-33.698742,151.055463,O,25,240,3.5,2WI,-,
53.8750,52.8750,VK2RBM,Lawsn1,Lawson,Blue Mtns,-33.719433,150.431585,O,-,735,3,2HZ,-,
53.9250,52.9250,VK1RGI,Ginini,Mt Ginini,SE NSW - ACT 6/15,-35.529552,148.772605,P,35,1770,3,1ACA,91.5,
,,,,,,,,,,,,,,{{6M;FM;VK3}}
53.5000,52.5000,VK3RSA,-,Emerald,Melbourne 8/17,-37.93236,145.44378,P,25,316,3,VSA,91.5,
53.5500,52.5500,VK3RMH,KLake,Kinglake,Melbourne,-37.515708,145.316285,O,40,600,3,3CNE,-,
53.5750,52.5750,VK3RDD,-,Cranbourne,Cranbourne,-38.113722,145.280059,O,30,385,3.5,3BJA,91.5,
53.6000,52.6000,VK3RMR,-,Mt Lookout,Gippsland,-37.696814,146.364065,O,25,-,-,3EGC,-,
53.6250,52.6250,VK3RHF,-,Mt Dandenong,Melbourne 11/17,-37.836728,145.347876,X,50,600,3,3UJ,88.5,8
53.6500,52.6500,VK3RWU,-,Mt William,Grampians,-37.294985,142.603725,O,-,-,-,3WI,91.5,
53.6750,52.6750,VK3RAD,-,Mitcham,Melbourne East 6/15,-37.820773,145.188383,X,-,100,-,3ZKV,-,
53.6750,52.6750,VK3RTN,-,Mt Gordon,Marysville - NE Vic,-37.515969,145.712369,O,25,800,2.5,3JFK,-,14
53.7250,52.7250,VK3RGV,Wombat,Mt Wombat,Shepparton 3/18,-36.849308,145.67307,X,15,800,3,3WI,123,18
53.9000,52.9000,VK3RMS,Olind2,Olinda,Melbourne 12/19,-37.857864,145.364227,X,60,600,3,3WI,-,15
53.9750,52.9750,VK3RGM,-,Mt Buller,NE Victoria 6/15,-37.146425,146.43441,X,25,1800,3,3JFK,-,
,,,,,,,,,,,,,,{{6M;FM;VK4}}
53.6250,52.6250,VK4RRC,-,Wamuran,Redcliffe,-27.036716,152.823105,O,20,230,5,4RC,-,
53.7000,52.7000,VK4RSN,-,Wilkes Knob,Sunshine Coast,-26.422383,152.854389,O,18,470,5,4WIS,-,
53.7250,52.7250,VK4RGA,-,Kroombit Tops,Central Queensland 8/15,-24.356626,150.939698,X,83,1010,5,QGL,-,
53.7250,52.7250,VK4RLB,-,Woodridge,Brisbane South,-27.627411,153.100191,O,25,90,4,4ARN,-,3
53.7750,52.7750,VK4RBG,Bunda,Bundaberg,Bundaberg 6/15,-24.842477,152.426293,P,25,50,5,4BW,-,
53.8000,52.8000,VK4RSA,-,Sarina,Mackay 6/15,-21.497521,149.16955,T,-,-,-,4RM,-,
53.8250,52.8250,VK4REG,-,Mt Mowbullan,Bunya Mtns,-26.888563,151.600764,O,25,1700,5,4QF,91.5,
